timer,fight_result,has_round_started,is_round_over,Player1_ID,health,x_coord,y_coord,is_jumping,is_crouching,is_player_in_move,move_id,player1_buttons up,player1_buttons down,player1_buttons right,player1_buttons left,player1.player_buttons.A,player1.player_buttons.B,player1.player_buttons.Y,player1.player_buttons.R,player1.player_buttons.L,Player2_ID,Player2 health,Player2 x_coord,Player2 y_coord,Player2 is_jumping,Player2 is_crouching,Player2 is_player_in_move,Player2 move_id
120,0,1,0,0,106,418,134,1,0,1,33686533,0,1,0,0,0,0,0,1,0,6,12,454,192,0,0,0,0
119,0,1,0,0,81,219,132,1,0,1,100794369,0,1,0,1,0,1,0,0,0,6,74,159,192,0,0,0,0
112,0,1,0,0,52,289,192,0,0,0,0,0,0,0,0,0,0,0,0,1,7,121,314,192,0,0,0,0
129,0,1,0,0,54,242,155,0,0,0,0,0,0,0,1,0,0,0,0,0,6,126,300,192,0,0,1,2
120,0,1,0,0,110,271,192,0,0,1,1029,0,0,0,1,0,0,0,0,1,7,103,214,192,0,0,0,0
84,0,1,0,0,0,353,192,0,0,1,132100,0,0,1,0,0,0,0,0,0,3,78,286,192,0,1,0,0
120,0,1,0,0,54,166,192,0,1,1,33685504,0,1,0,0,0,1,0,0,0,6,121,216,192,0,0,0,0
100,0,1,0,0,102,333,152,0,0,0,0,0,1,0,1,0,0,0,0,0,6,58,410,153,1,0,0,0
131,0,1,0,0,78,448,192,0,0,1,131587,0,0,0,1,1,0,0,0,0,1,133,366,192,0,1,1,33555460
144,0,1,0,0,122,365,192,0,0,1,131073,0,0,1,0,0,1,0,0,0,0,165,425,192,0,0,1,1029
100,0,1,0,0,36,262,192,0,0,1,1029,0,0,1,0,0,0,0,0,1,7,121,314,192,0,0,1,394757
117,0,1,0,0,68,432,192,0,0,0,0,0,1,0,0,0,1,0,0,0,3,144,457,192,0,1,1,33686532
119,0,1,0,0,131,298,161,1,0,0,0,1,0,0,1,0,0,0,0,0,7,108,215,192,0,0,0,0
114,0,1,0,0,87,422,192,0,0,1,100664320,0,0,1,0,0,0,0,0,1,1,18,448,167,0,0,0,0
88,0,1,0,0,9,255,192,0,0,0,0,0,0,0,1,0,0,0,0,0,1,35,135,192,0,0,0,0
81,0,1,0,0,9,152,192,0,1,1,33686018,0,1,0,0,0,0,0,0,0,1,17,64,192,0,0,0,0
89,0,1,0,0,35,55,192,0,1,1,33686018,0,1,0,0,1,0,0,0,0,7,69,194,155,1,0,0,0
89,0,1,0,0,46,330,192,0,0,1,1,0,0,1,0,0,0,1,0,0,3,121,457,192,0,0,1,33555461
132,0,1,0,0,11,55,175,0,0,0,0,0,0,1,0,0,0,0,0,0,6,166,132,192,0,0,0,0
149,0,1,0,0,144,144,192,0,0,0,0,0,1,1,0,0,0,0,0,0,0,176,296,192,0,0,0,0
131,0,1,0,0,136,372,192,0,0,0,0,0,0,1,0,0,0,0,0,0,3,109,457,192,0,0,0,0
99,0,1,0,0,74,358,192,0,0,1,1,0,0,1,0,0,0,1,0,0,3,121,457,192,0,0,0,0
103,0,1,0,0,74,243,192,0,0,1,1,0,0,0,0,0,0,1,0,0,3,121,404,192,0,0,0,0
153,0,0,0,0,176,205,192,0,0,0,0,1,0,1,0,0,0,0,0,0,0,176,307,192,0,0,0,0
129,0,1,0,0,81,334,192,0,0,1,100795394,0,0,0,1,0,0,0,1,1,6,113,280,193,0,0,0,0
146,0,1,0,0,98,165,147,0,0,0,0,0,0,0,0,1,1,0,0,0,1,176,218,192,0,0,0,0
114,0,1,0,0,88,258,168,0,0,0,0,0,0,0,1,0,0,1,0,0,0,113,281,192,0,0,0,0
89,0,1,0,0,57,335,192,0,0,0,0,0,0,0,1,0,0,0,0,0,6,58,408,192,0,0,0,0
112,0,1,0,0,98,233,192,0,0,1,131587,0,0,0,1,1,0,0,0,0,7,3,177,192,0,0,0,0
97,0,1,0,0,0,55,192,0,1,1,33685504,0,1,0,0,0,1,0,0,0,6,77,149,192,0,0,0,0
132,0,1,0,0,117,266,192,0,0,1,131073,0,0,0,1,0,1,0,0,0,3,144,328,192,0,0,0,0
85,0,1,0,0,35,121,192,0,1,1,33686018,0,1,0,0,1,0,0,0,0,7,69,193,165,1,0,0,0
115,0,1,0,0,87,422,192,0,0,1,100664320,0,0,1,0,0,0,0,0,1,1,18,448,175,0,0,0,0
115,0,1,0,0,37,98,192,0,1,0,0,0,1,0,0,0,1,0,0,0,6,108,70,192,0,1,1,33686532
151,0,1,0,0,176,314,192,0,0,0,0,0,0,1,0,0,0,0,0,1,7,176,382,192,0,0,0,0
104,0,1,0,0,76,393,192,0,1,1,33685504,0,0,0,0,0,1,0,0,0,0,70,418,192,0,0,0,0
130,0,1,0,0,78,438,192,0,0,1,131073,0,1,0,0,0,1,0,0,0,1,133,375,192,0,1,1,33555460
131,0,1,0,0,73,192,192,0,0,0,0,0,0,0,1,0,0,0,0,0,1,137,282,192,0,0,0,0
102,0,1,0,0,36,289,192,0,0,0,0,0,0,0,1,0,0,1,0,0,7,121,314,192,0,0,0,0
149,0,1,0,0,126,147,192,0,0,0,0,0,0,0,1,0,0,0,0,0,6,176,214,192,0,0,1,1029
120,0,1,0,0,142,368,192,0,1,0,0,0,1,0,0,0,0,0,0,0,3,153,457,192,0,0,0,0
114,1,1,1,0,87,422,192,0,0,1,100664320,0,0,1,0,0,0,0,0,1,1,255,448,175,0,0,0,0
152,0,1,0,0,176,245,192,0,0,0,0,0,0,1,0,0,0,0,0,0,7,176,354,192,0,0,0,0
136,0,1,0,0,100,326,175,1,0,0,0,1,0,1,0,0,0,0,0,0,0,165,425,192,0,0,0,0
113,0,1,0,0,19,203,192,0,0,0,0,0,0,1,0,0,1,0,0,0,6,121,117,192,0,0,1,4
136,0,1,0,0,121,175,192,1,0,0,0,1,0,1,0,0,0,0,0,0,6,120,244,192,0,0,0,0
147,0,1,0,0,176,418,171,0,0,0,0,0,1,0,0,0,0,0,0,1,7,108,457,192,0,0,0,0
112,0,1,0,0,76,301,153,1,0,0,0,1,0,1,0,0,0,0,0,0,0,75,457,192,0,0,0,0
136,0,1,0,0,165,365,192,0,0,0,0,0,0,1,0,0,0,0,0,0,3,141,457,192,0,0,0,0
119,0,1,0,0,106,414,192,0,1,1,33685504,0,1,0,0,0,1,0,0,0,6,12,453,192,1,0,0,0
101,0,1,0,0,37,199,192,0,1,0,0,0,1,0,1,0,0,0,0,0,1,40,143,192,0,0,0,0
53,0,1,0,0,39,382,145,0,0,0,0,0,0,0,1,0,0,0,0,0,7,27,429,131,1,0,1,67109892
148,0,1,0,0,157,162,192,0,0,1,100664320,0,0,1,0,0,0,0,0,1,1,176,200,191,0,0,0,0
97,0,1,0,0,18,280,144,1,0,0,0,0,0,1,0,0,0,0,0,0,0,70,429,192,0,0,0,0
134,0,1,0,0,107,457,192,0,0,0,0,0,0,0,1,0,0,0,0,1,1,133,407,192,0,0,1,132100
48,0,1,0,0,3,348,192,0,0,1,1028,0,0,0,1,0,0,0,0,1,3,6,324,167,1,0,0,0
69,0,1,0,0,87,229,153,1,0,0,0,1,0,1,0,0,0,0,0,0,7,50,330,192,0,0,0,0
145,0,1,0,0,155,429,192,0,0,0,0,0,0,0,1,1,0,0,0,0,7,137,457,192,0,0,1,1028
96,0,1,0,0,46,327,192,0,0,0,0,0,0,0,1,0,0,1,0,0,3,121,457,192,0,0,1,33555461
137,0,1,0,0,121,55,192,0,0,0,0,0,1,0,0,0,0,0,0,0,1,176,212,192,0,0,1,33555458
89,0,1,0,0,36,104,192,0,0,0,0,0,0,0,1,0,0,0,0,0,7,82,55,192,0,0,0,0
130,0,1,0,0,82,241,192,0,1,1,33685504,0,1,0,0,0,1,0,0,0,6,126,284,192,0,1,0,0
134,0,1,0,0,121,245,191,0,0,0,0,0,1,0,0,0,0,1,0,0,6,110,269,192,0,0,0,0
114,0,1,0,0,105,307,192,0,0,1,100795394,0,0,0,1,0,0,0,1,0,7,108,262,187,0,0,0,0
83,0,1,0,0,13,364,161,1,0,0,0,1,0,1,0,0,0,0,0,0,3,121,457,192,0,0,1,33555460
