timer,fight_result,has_round_started,is_round_over,Player1_ID,health,x_coord,y_coord,is_jumping,is_crouching,is_player_in_move,move_id,player1_buttons up,player1_buttons down,player1_buttons right,player1_buttons left,player1.player_buttons.A,player1.player_buttons.B,player1.player_buttons.Y,player1.player_buttons.R,player1.player_buttons.L,Player2_ID,Player2 health,Player2 is_jumping,Player2 is_crouching,Player2 is_player_in_move,Player2 move_id,combo_id,combo_present
151,0,1,0,0,176,-52,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,7,176,0,0,0,0,5,1
135,0,1,0,0,95,-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,160,0,1,1,33555460,-1,0
136,0,1,0,0,129,-30,-34,1,0,1,131073,0,0,0,0,0,0,0,0,0,6,144,0,0,0,0,-1,0
133,0,1,0,0,89,124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,108,0,0,0,0,-1,0
149,0,1,0,0,146,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,176,0,0,0,0,7,1
152,0,1,0,0,158,-57,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6,176,0,0,1,1,6,1
150,0,1,0,0,176,-38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,2,1
147,0,1,0,0,176,80,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,6,176,0,0,0,0,3,1
86,0,1,0,0,102,131,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5,121,0,0,0,0,4,1
114,0,1,0,0,157,-38,23,0,0,1,100795394,0,0,1,0,0,0,0,0,0,7,29,0,0,0,0,-1,0
105,0,1,0,0,33,-49,0,0,0,0,0,1,0,1,0,0,1,0,0,0,6,67,0,0,0,0,4,1
133,0,1,0,0,118,-94,-48,0,0,0,0,0,0,0,1,0,0,0,0,0,6,108,0,1,0,0,-1,0
151,0,1,0,0,158,-47,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,6,176,0,0,0,0,7,1
