timer,fight_result,has_round_started,is_round_over,Player1_ID,health,x_coord,y_coord,is_jumping,is_crouching,is_player_in_move,move_id,player1_buttons up,player1_buttons down,player1_buttons right,player1_buttons left,player1.player_buttons.A,player1.player_buttons.B,player1.player_buttons.Y,player1.player_buttons.R,player1.player_buttons.L,Player2_ID,Player2 health,Player2 is_jumping,Player2 is_crouching,Player2 is_player_in_move,Player2 move_id,combo_present
113,0,1,0,0,43,41,-82,0,0,0,0,0,0,0,0,0,0,1,0,0,6,107,0,1,0,0,0
148,0,1,0,0,176,-44,0,0,0,1,100664320,0,0,0,0,0,0,0,0,1,7,176,0,0,0,0,0
115,0,1,0,0,37,68,33,0,0,1,131073,0,0,0,0,0,1,0,0,0,4,91,1,0,0,0,0
129,0,1,0,0,8,-24,-64,1,0,1,1,0,0,1,0,0,0,0,0,0,6,169,0,0,0,0,0
120,0,1,0,0,85,-53,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,123,0,0,0,0,0
118,0,1,0,0,124,125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,124,0,0,0,0,0
132,0,1,0,0,89,124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,108,0,0,0,0,0
71,0,1,0,0,3,39,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,6,0,0,0,0,0
131,0,1,0,0,22,-4,42,0,0,0,0,0,0,1,0,0,0,0,0,0,6,176,1,0,1,67109890,0
129,0,1,0,0,122,-61,0,0,0,1,1029,0,0,0,0,0,0,0,0,1,6,22,0,0,0,0,0
113,0,1,0,0,10,-152,9,0,0,1,100795394,0,0,1,0,0,0,0,0,0,6,82,1,0,0,0,0
132,0,1,0,0,159,47,64,0,0,0,0,0,0,0,1,0,0,0,0,0,5,157,1,0,0,0,0
115,0,1,0,0,48,41,-22,0,0,0,0,0,0,0,0,0,0,1,0,0,6,107,0,0,0,0,0
97,0,1,0,0,4,-96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,75,0,0,0,0,0
134,0,1,0,0,157,-57,0,0,0,1,132101,0,0,0,0,0,0,0,1,0,7,130,0,0,0,0,0
86,0,1,0,0,3,122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,55,0,0,0,0,0
136,0,1,0,0,124,-74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,130,0,0,0,0,0
98,0,1,0,0,0,-146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,50,0,0,0,0,0
130,0,1,0,0,80,169,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,107,0,0,0,0,0
116,0,1,0,0,90,-44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,55,0,1,1,33686532,0
147,0,1,0,0,176,-46,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,108,0,0,0,0,0
128,0,1,0,0,144,-53,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,126,0,0,0,0,0
129,0,1,0,0,157,-17,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,7,81,0,1,0,0,0
128,0,1,0,0,69,-97,-7,1,0,0,0,0,0,1,0,0,0,0,0,0,6,130,0,0,0,0,0
98,0,1,0,0,4,-150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,75,0,0,0,0,0
120,0,1,0,0,124,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,124,0,0,0,0,0
128,0,1,0,0,124,109,-58,1,0,0,0,1,0,1,0,0,0,0,0,0,6,124,0,1,0,0,0
115,0,1,0,0,87,-31,-55,1,0,1,131073,0,0,0,0,0,1,0,0,0,6,22,0,0,0,0,0
89,0,1,0,0,4,-78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,75,0,0,0,0,0
54,0,1,0,0,4,28,-31,1,0,1,132100,0,0,0,0,0,0,0,1,0,7,60,0,0,0,0,0
64,0,1,0,0,29,-66,0,0,0,1,132101,0,0,0,1,0,0,0,1,0,6,34,0,0,0,0,0
133,0,1,0,0,118,-94,-48,0,0,0,0,0,0,0,1,0,0,0,0,0,6,108,0,1,0,0,0
147,0,1,0,0,122,-48,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,128,0,0,0,0,0
150,0,1,0,0,116,-90,-42,0,0,0,0,0,0,1,0,0,0,0,0,0,6,176,0,1,1,33686532,0
151,0,1,0,0,151,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,136,0,0,0,0,0
87,0,1,0,0,57,55,-48,1,0,0,0,0,0,0,1,0,0,0,0,0,0,89,0,0,0,0,0
99,0,1,0,0,126,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,121,0,0,0,0,0
53,0,1,0,0,82,114,24,0,0,0,0,0,0,1,0,0,0,0,0,0,5,61,1,0,0,0,0
112,0,1,0,0,37,46,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,4,91,0,0,0,0,0
100,0,1,0,0,95,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,90,0,0,0,0,0
83,0,1,0,0,3,145,7,0,0,1,100795394,0,0,0,1,0,0,0,0,0,6,9,1,0,0,0,0
112,0,1,0,0,90,-48,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,39,0,0,0,0,0
101,0,1,0,0,37,-66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,71,0,0,0,0,0
135,0,1,0,0,95,-77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,160,0,0,0,0,0
153,0,0,0,0,176,-102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,176,0,0,0,0,0
148,0,1,0,0,122,-53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,139,0,1,1,33686532,0
131,0,1,0,0,99,-84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,144,0,0,0,0,0
54,0,1,0,0,4,25,1,1,0,1,132100,0,0,0,0,0,0,0,1,0,7,60,0,0,0,0,0
104,0,1,0,0,37,12,57,0,0,1,131072,0,0,0,0,0,1,0,0,0,4,91,1,0,0,0,0
117,0,1,0,0,147,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,140,0,0,0,0,0
144,0,1,0,0,132,-26,-56,1,0,1,100663297,0,0,0,0,0,0,1,0,0,6,92,0,0,0,0,0
150,0,1,0,0,176,-40,-4,1,0,1,132101,1,0,1,0,0,0,0,1,0,2,176,0,0,0,0,0
121,0,1,0,0,157,-32,0,0,0,1,132100,0,0,0,0,0,0,0,1,0,7,75,0,0,0,0,0
151,0,1,0,0,176,-46,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,142,0,1,1,33686532,0
144,0,1,0,0,138,1,91,0,0,0,0,0,0,1,0,0,0,0,0,0,4,98,1,0,1,263168,0
150,0,1,0,0,116,-88,-37,0,0,0,0,0,0,1,0,0,0,0,0,0,6,176,0,1,1,33686532,0
131,0,1,0,0,53,-22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,139,0,0,1,132100,0
83,0,1,0,0,76,-64,-63,1,0,0,0,0,0,1,0,0,0,0,0,0,7,124,0,0,0,0,0
113,0,1,0,0,37,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,91,0,0,0,0,0
105,0,1,0,0,41,-45,0,0,0,1,100795394,0,0,1,0,0,0,0,0,0,6,62,0,0,0,0,0
149,0,1,0,0,132,-54,-1,0,0,1,100795394,0,0,0,0,0,0,0,1,0,6,138,0,0,0,0,0
104,0,1,0,0,53,-46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,55,0,0,0,0,0
147,0,1,0,0,139,-44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,139,0,0,0,0,0
119,0,1,0,0,124,101,50,0,0,0,0,0,0,1,0,0,0,0,0,0,6,124,1,0,0,0,0
121,0,1,0,0,85,-71,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,123,0,1,0,0,0
146,0,1,0,0,122,-48,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,128,0,0,0,0,0
144,0,1,0,0,138,39,30,0,0,0,0,0,0,0,1,0,0,0,0,0,4,98,1,0,1,263168,0
150,0,1,0,0,147,-46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,142,0,1,1,33686532,0
114,0,1,0,0,124,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,96,0,0,0,0,0
113,0,1,0,0,43,41,-79,0,0,0,0,0,0,0,0,0,0,1,0,0,6,107,0,1,0,0,0
129,0,1,0,0,157,-30,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,7,81,0,1,0,0,0
115,0,1,0,0,118,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,123,0,0,0,0,0
120,0,1,0,0,33,-59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,143,0,0,0,0,0
96,0,1,0,0,112,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,124,0,1,1,33686533,0
82,0,1,0,0,3,156,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,9,0,0,0,0,0
137,0,1,0,0,124,-35,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,119,0,0,0,0,0
149,0,1,0,0,176,-139,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,130,0,0,0,0,0
